device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	4288	17487	51%	3m 15s
Laptop	3044	6516	73%	1m 23s
Mobile	1029	1665	81%	33s
Tablet	265	428	83%	32s
(not set)	1	1	100%	-
