source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	277	1224	50%	2m 36s
Google	42	140	48%	51s
galaxyproject.org	14	36	60%	35s
niaid.nih.gov	6	13	33%	3m 04s
researchspace.atlassian.net	4	30	20%	3m 12s
Bing	2	3	50%	18s
chatgpt.com	2	3	50%	1m 22s
bv-brc.org	1	1	100%	-
LinkedIn	1	1	100%	-
blogs.biomedcentral.com	1	5	0%	1m 41s
GitHub	1	94	0%	45m 47s
