country	Visitors	Pageviews	Bounce Rate	Duration
US	256	638	63%	2m 14s
GB	37	94	60%	36s
DE	27	94	44%	1m 10s
NL	24	38	71%	8s
CN	19	20	95%	-
AU	14	44	44%	1m 21s
AT	11	12	91%	-
FR	10	26	40%	45s
ES	10	15	73%	5s
ZA	8	13	62%	38s
CH	7	17	57%	33s
IE	7	8	86%	-
CA	6	9	67%	19s
IN	5	6	100%	-
SE	5	5	100%	-
RU	5	5	100%	-
BE	4	10	50%	4m 55s
FI	4	5	75%	-
AD	4	22	25%	20m 32s
HU	4	4	100%	-
NO	4	9	75%	26s
BR	4	6	80%	1s
RO	3	3	100%	-
CZ	3	6	67%	1m 05s
IT	3	5	67%	9s
PL	2	2	100%	-
EG	2	2	100%	-
BS	2	6	50%	26s
AR	2	2	100%	-
PT	2	2	100%	-
JP	2	4	67%	2s
DK	2	2	100%	-
HK	1	2	0%	10s
MD	1	1	100%	-
SA	1	1	100%	-
AL	1	2	0%	33s
SG	1	1	100%	-
KZ	1	1	100%	-
CO	1	1	100%	-
TR	1	1	100%	-
ID	1	1	100%	-
HR	1	2	0%	4s
ET	1	2	0%	9s
NZ	1	1	100%	-
IR	1	1	100%	-
