country	Visitors	Pageviews	Bounce Rate	Duration
US	208	1011	46%	2m 59s
AU	20	243	23%	2m 36s
CN	19	20	95%	-
CA	17	25	65%	1s
KE	14	20	75%	53s
GB	11	61	38%	2m 51s
DE	6	23	12%	1m 13s
FR	6	8	83%	8s
BE	4	55	0%	8m 26s
IN	4	6	50%	11s
NO	3	4	67%	5s
JP	2	2	100%	-
PT	2	10	50%	8m 36s
ID	2	3	50%	6s
IE	2	4	50%	4s
CH	2	2	100%	-
NL	2	3	50%	1m 22s
TH	2	2	100%	-
PK	2	2	100%	-
RW	2	6	0%	58s
CD	1	1	100%	-
ZW	1	1	100%	-
AT	1	1	100%	-
CL	1	1	100%	-
NG	1	7	0%	47s
UA	1	1	100%	-
ES	1	1	100%	-
AR	1	1	100%	-
SN	1	3	0%	21s
IT	1	3	0%	55s
PL	1	1	100%	-
SA	1	6	0%	2m 53s
BH	1	4	0%	11m 16s
BR	1	4	0%	2m 03s
SE	1	1	100%	-
RU	1	1	100%	-
IR	1	1	100%	-
BO	1	1	100%	-
CY	1	1	100%	-
