device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	5985	21199	58%	2m 44s
Mobile	3297	15785	76%	7m 33s
Laptop	3044	6516	73%	1m 23s
Tablet	267	430	83%	32s
(not set)	112	125	99%	-
