device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	10161	27061	71%	1m 52s
Mobile	6838	49468	73%	11m 32s
Laptop	3044	6516	73%	1m 23s
Tablet	270	444	82%	32s
(not set)	213	239	98%	1s
