source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	228	508	70%	1m 07s
Google	45	138	57%	1m 35s
galaxyproject.org	21	52	82%	1m 03s
niaid.nih.gov	4	16	0%	2m 07s
DuckDuckGo	4	8	25%	4m 02s
LinkedIn	3	4	67%	6m 57s
go.bsky.app	2	3	50%	12s
Bing	2	5	50%	38s
statics.teams.cdn.office.net	2	2	100%	-
science.org	1	3	0%	1m 52s
redmine.gi.ucsc.edu	1	1	100%	-
hgdownload.soe.ucsc.edu	1	1	100%	-
forms.office.com	1	2	0%	13s
