source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	550	1851	72%	2m 37s
Google	61	193	61%	1m 33s
galaxyproject.org	22	41	81%	39s
forms.office.com	5	14	60%	1m 38s
LinkedIn	4	4	100%	-
chatgpt.com	3	9	33%	52s
niaid.nih.gov	3	12	25%	50s
GitHub	2	6	50%	4s
training.galaxyproject.org	2	2	100%	-
go.bsky.app	1	4	0%	1m 26s
bv-brc.org	1	1	100%	-
