source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	453	1716	45%	3m 06s
Google	64	240	44%	3m 07s
galaxyproject.org	23	40	78%	10s
forms.office.com	15	36	61%	1m 10s
niaid.nih.gov	12	30	42%	40s
bv-brc.org	2	6	50%	10s
go.bsky.app	2	13	50%	42s
perplexity.ai	1	4	0%	6s
Bing	1	136	33%	24m 31s
DuckDuckGo	1	1	100%	-
chatgpt.com	1	1	100%	-
Yahoo!	1	1	100%	-
blogs.biomedcentral.com	1	1	100%	-
