country	Visitors	Pageviews	Bounce Rate	Duration
US	197	783	60%	2m 48s
AU	53	319	39%	4m 58s
CN	26	27	96%	1s
BE	19	111	35%	1m 44s
CA	14	25	62%	-
DE	13	36	64%	3m 45s
FR	6	22	50%	3m 07s
GB	6	6	100%	-
RU	4	4	100%	-
BR	4	4	100%	-
KE	4	8	60%	3s
JP	4	4	100%	-
SG	3	4	100%	-
VN	2	3	50%	1s
GR	2	10	50%	2m 42s
PL	2	2	100%	-
NL	2	3	50%	30s
TH	2	2	100%	-
IN	2	2	100%	-
IR	2	2	100%	-
IT	2	6	50%	1m 02s
BZ	2	8	50%	26s
MG	2	10	33%	1m 33s
CZ	2	2	100%	-
ET	1	1	100%	-
TR	1	1	100%	-
RO	1	1	100%	-
MU	1	2	0%	9s
AL	1	2	0%	26s
AD	1	1	100%	-
ES	1	1	100%	-
IQ	1	1	100%	-
MX	1	1	100%	-
JO	1	9	0%	6m 52s
SE	1	1	100%	-
NG	1	1	100%	-
VE	1	1	100%	-
EC	1	1	100%	-
