device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	7229	23285	63%	2m 26s
Mobile	5560	26493	76%	8m 18s
Laptop	3044	6516	73%	1m 23s
Tablet	269	432	83%	31s
(not set)	159	177	99%	-
