country	Visitors	Pageviews	Bounce Rate	Duration
US	821	2901	79%	7m 26s
CN	361	365	99%	-
DE	27	62	78%	51s
VN	13	14	92%	2s
GB	13	33	79%	19s
IN	13	23	77%	3m 13s
AU	10	30	50%	8m 56s
BE	9	32	50%	4m 26s
CH	8	34	50%	2m 29s
IT	7	10	57%	-
FR	6	6	100%	-
CA	6	7	83%	6s
ES	6	9	71%	1s
SE	4	9	50%	1m 14s
AT	4	6	75%	33s
SG	4	12	75%	21s
PT	3	3	100%	-
NL	3	3	100%	-
KR	3	4	67%	10s
BR	3	3	100%	-
PL	2	2	100%	-
LU	2	2	100%	-
NZ	2	2	100%	-
HK	2	3	50%	1m 48s
MX	1	1	100%	-
ZA	1	1	100%	-
IR	1	1	100%	-
PK	1	1	100%	-
MU	1	1	100%	-
FI	1	1	100%	-
CL	1	1	100%	-
TR	1	3	0%	15s
DK	1	1	100%	-
PY	1	4	0%	1m 52s
IE	1	1	100%	-
PA	1	1	100%	-
LB	1	1	100%	-
UG	1	1	100%	-
CZ	1	1	100%	-
BY	1	1	100%	-
MA	1	1	100%	-
TW	1	1	100%	-
GU	1	5	0%	38s
TZ	1	1	100%	-
CO	1	1	100%	-
ID	1	1	100%	-
