country	Visitors	Pageviews	Bounce Rate	Duration
US	200	1545	41%	5m 32s
CN	25	31	92%	19s
AU	15	126	41%	5m 08s
CA	14	32	43%	17s
DE	11	72	36%	2m 41s
GB	11	17	75%	21s
BE	9	65	22%	6m 51s
RU	4	4	100%	-
IN	4	9	75%	13s
BR	3	3	100%	-
BM	2	3	50%	16s
SA	2	2	100%	-
ES	2	4	50%	21s
SG	2	2	100%	-
KR	2	2	100%	-
BS	2	2	100%	-
IR	2	2	100%	-
JP	2	4	50%	10s
AS	2	3	50%	10s
HK	2	2	100%	-
CH	1	8	0%	10m 36s
NO	1	1	100%	-
NZ	1	1	100%	-
MX	1	1	100%	-
NG	1	3	0%	19s
CR	1	3	0%	3m 17s
PR	1	1	100%	-
AT	1	3	50%	1s
ID	1	6	0%	11m 40s
VN	1	1	100%	-
FR	1	1	100%	-
