browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	245	1662	46%	4m 52s
Safari	31	104	56%	2m 36s
Firefox	22	156	22%	4m 23s
Microsoft Edge	16	22	88%	30s
Mobile App	7	9	86%	28s
MIUI Browser	1	1	100%	-
Sogou Explorer	1	1	100%	-
Smart Lenovo Browser	1	1	100%	-
Quark	1	1	100%	-
Yandex Browser	1	1	100%	-
Opera	1	1	100%	-
