device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	7523	23897	63%	2m 22s
Mobile	6290	42046	75%	10m 39s
Laptop	3044	6516	73%	1m 23s
Tablet	270	444	82%	32s
(not set)	171	193	97%	1s
