device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	4794	18256	55%	3m 00s
Laptop	3044	6516	73%	1m 23s
Mobile	1240	3347	78%	5m 16s
Tablet	266	429	83%	32s
(not set)	1	1	100%	-
