device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	5553	20205	57%	2m 48s
Laptop	3044	6516	73%	1m 23s
Mobile	2643	10520	77%	7m 20s
Tablet	266	429	83%	32s
(not set)	56	66	98%	1s
