browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	326	695	67%	1m 29s
Firefox	63	188	44%	1m 39s
Safari	60	176	63%	2m 57s
Microsoft Edge	55	83	88%	10s
Opera	2	2	100%	-
	2	4	50%	1m 18s
Samsung Browser	1	1	100%	-
Yandex Browser	1	1	100%	-
Mobile App	1	1	100%	-
