browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	332	664	75%	47s
Microsoft Edge	17	32	74%	48s
Safari	15	20	73%	24s
Firefox	13	32	71%	10s
Mobile App	6	7	83%	3s
Yandex Browser	2	5	50%	2m 25s
Opera	1	1	100%	-
QQ Browser	1	1	100%	-
Quark	1	1	100%	-
