country	Visitors	Pageviews	Bounce Rate	Duration
US	148	475	59%	2m 55s
CN	62	62	100%	-
DE	31	39	88%	25s
GB	24	63	42%	1m 51s
IT	12	19	50%	-
IN	8	20	62%	15s
VN	6	6	100%	-
NL	6	6	100%	-
CH	6	14	50%	5m 54s
BR	5	5	100%	-
SE	5	5	100%	-
PL	4	4	100%	-
IQ	3	3	100%	-
SG	3	3	100%	-
BD	3	3	100%	-
RU	3	3	100%	-
AT	2	5	50%	32s
FR	2	6	50%	30s
KR	2	3	50%	11s
DZ	2	2	100%	-
TR	2	2	100%	-
MX	2	2	100%	-
CA	2	4	50%	5s
ES	1	1	100%	-
CO	1	1	100%	-
UZ	1	1	100%	-
AU	1	6	50%	10s
SI	1	1	100%	-
HK	1	3	0%	1m 36s
UG	1	3	0%	4m 10s
GY	1	1	100%	-
AE	1	1	100%	-
VE	1	1	100%	-
CL	1	1	100%	-
JP	1	1	100%	-
RO	1	1	100%	-
AR	1	6	0%	1m 48s
SC	1	1	100%	-
FI	1	1	100%	-
LU	1	1	100%	-
MA	1	1	100%	-
AF	1	1	100%	-
MG	1	2	0%	16s
