Page url	Visitors	Pageviews	Bounce rate	Time on Page
/	310	549	52%	3m 51s
/data/organisms	153	346	54%	2m 28s
/data/assemblies	76	161	21%	11m 51s
/data/assemblies/GCF_000005575_2	66	113	50%	1m 50s
/data/organisms/7165	55	97	0%	7m 39s
/about	37	50	100%	-
/roadmap	31	39	60%	8m 42s
/data/assemblies/GCF_000002655_1	26	37	50%	10m 20s
/data/organisms/746128	23	34	100%	-
/data/organisms/5833	12	18	-	-
/data/assemblies/GCF_000182965_3	11	14	50%	10s
/data/assemblies/GCF_000002765_6	11	13	-	-
/data/assemblies/GCF_000857045_1	11	21	-	-
/data/organisms/10244	10	23	-	-
/data/organisms/5476	10	17	-	-
/data/assemblies/GCF_943734735_2	9	14	0%	15s
/data/organisms/199306	6	10	-	-
/data/organisms/5207	6	11	-	-
/data/assemblies/GCA_000170175_2	6	6	-	-
/data/assemblies/GCF_000149335_2	6	8	-	-
/data/organisms/5855	5	5	-	-
/data/organisms/694009	4	6	-	-
/data/assemblies/GCF_009858895_2	3	3	-	-
/data/organisms/5691	3	5	-	-
/data/assemblies/GCF_000195955_2	3	3	-	-
/data/assemblies/GCF_000002445_2	3	3	-	-
/data/assemblies/GCA_000149245_3	3	5	-	-
/data/organisms/5501	2	2	-	-
/data/organisms/1773	2	2	-	-
/data/organisms/5660	2	3	-	-
/data/organisms/5811	2	2	-	-
/data/organisms/7176	2	2	-	-
/data/organisms/7175	2	3	0%	2s
/data/assemblies/GCF_000091045_1	2	2	100%	-
/data/organisms/5693	1	1	-	-
/data/organisms/5860	1	1	-	-
/data/organisms/GCA_000002765_3	1	1	0%	4s
/data/assemblies/GCF_016801865_2	1	2	-	-
/data/assemblies/GCF_000006565_2	1	1	-	-
/data/assemblies/GCF_000002845_2	1	1	-	-
/data/organisms/5861	1	1	-	-
/data/assemblies/GCF_015732765_1	1	1	-	-
/data/genomes	1	1	-	-
/data/assemblies/GCF_018416015_2	1	2	-	-
