source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	3800	22988	78%	12m 32s
Google	83	244	57%	1m 41s
Bing	10	42	64%	4m 15s
niaid.nih.gov	5	14	80%	23s
teams.public.onecdn.static.microsoft	4	19	60%	1m 19s
chatgpt.com	4	7	75%	51s
galaxyproject.org	2	2	100%	-
DuckDuckGo	2	3	50%	4s
Youtube	1	1	100%	-
Qwant	1	3	0%	23s
forms.office.com	1	1	100%	-
