device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	4433	17696	52%	3m 10s
Laptop	3044	6516	73%	1m 23s
Mobile	1110	2662	79%	3m 40s
Tablet	265	428	83%	32s
(not set)	1	1	100%	-
