country	Visitors	Pageviews	Bounce Rate	Duration
US	192	912	44%	3m 07s
CA	19	30	63%	3s
CN	14	18	93%	2s
DE	11	40	47%	3m 15s
SG	7	28	64%	45s
BE	6	40	33%	6m 58s
AU	5	24	80%	6s
GB	5	8	60%	21s
FR	4	11	60%	1m 28s
GR	3	12	0%	39s
VN	3	7	33%	3m 00s
IN	3	6	67%	1m 53s
IT	2	2	100%	-
LT	2	2	100%	-
CH	2	2	100%	-
MX	2	6	0%	1m 15s
PL	2	7	50%	5m 24s
ES	2	2	100%	-
KE	2	2	100%	-
NL	2	2	100%	-
NZ	2	3	50%	14s
DK	1	1	100%	-
CL	1	1	100%	-
PK	1	1	100%	-
RU	1	1	100%	-
IE	1	1	100%	-
BH	1	1	100%	-
EC	1	2	100%	-
EG	1	1	100%	-
CZ	1	10	0%	4m 19s
AE	1	5	0%	1m 40s
MY	1	1	100%	-
HU	1	1	100%	-
ID	1	1	100%	-
LU	1	1	100%	-
PT	1	1	100%	-
