browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	229	973	52%	2m 51s
Safari	45	150	45%	1m 31s
Firefox	14	41	40%	1m 14s
Microsoft Edge	13	25	69%	17s
Mobile App	4	4	100%	-
