country	Visitors	Pageviews	Bounce Rate	Duration
US	317	1628	40%	4m 02s
CN	45	48	96%	2s
GB	35	104	13%	14s
CA	25	60	23%	12s
IT	23	65	18%	2m 09s
AU	22	109	47%	6m 37s
DE	19	34	58%	31s
CH	11	31	54%	4m 00s
IN	9	15	89%	18s
BR	6	20	71%	1m 31s
BE	6	8	67%	4s
PL	6	8	83%	5s
HK	6	6	100%	-
NL	5	6	80%	4s
FR	4	5	75%	2s
JP	3	3	100%	-
IQ	3	13	60%	3m 14s
JO	2	2	100%	-
IR	2	3	50%	-
NZ	2	2	100%	-
SA	2	13	50%	42s
UA	2	2	100%	-
KR	2	8	50%	1m 12s
ZA	2	2	100%	-
AT	2	6	50%	1m 02s
MX	2	2	100%	-
AS	1	1	100%	-
KE	1	1	100%	-
RU	1	1	100%	-
HU	1	4	0%	6s
NP	1	1	100%	-
SG	1	1	100%	-
PT	1	1	100%	-
PH	1	1	100%	-
QA	1	1	100%	-
ET	1	1	100%	-
TW	1	9	0%	50s
