country	Visitors	Pageviews	Bounce Rate	Duration
CN	126	129	99%	-
US	126	371	57%	1m 17s
AU	13	80	38%	5m 52s
IT	13	24	57%	-
GB	13	25	50%	8s
SG	12	13	100%	-
VN	10	10	100%	-
IN	9	11	78%	19s
BE	5	8	80%	4s
DE	5	12	60%	1m 04s
RU	5	10	60%	1m 14s
FR	4	4	100%	-
AR	3	3	100%	-
CA	3	4	67%	33s
KE	3	5	67%	6s
RO	3	3	100%	-
NL	3	3	100%	-
PL	2	10	50%	1m 04s
MX	2	2	100%	-
IR	2	3	50%	11s
BD	2	4	50%	28s
LA	2	2	100%	-
MA	2	2	100%	-
JP	2	5	0%	26s
TH	1	2	0%	6s
SA	1	1	100%	-
CO	1	1	100%	-
NG	1	1	100%	-
EG	1	1	100%	-
SE	1	1	100%	-
ID	1	1	100%	-
HU	1	1	100%	-
BR	1	1	100%	-
DO	1	1	100%	-
CH	1	1	100%	-
PT	1	2	0%	38s
SN	1	1	100%	-
MY	1	1	100%	-
UA	1	1	100%	-
IQ	1	1	100%	-
TR	1	1	100%	-
