browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	536	1861	71%	2m 40s
Safari	43	95	60%	53s
Firefox	30	81	57%	1m 03s
Microsoft Edge	21	77	64%	2m 35s
Mobile App	13	13	100%	-
Yandex Browser	5	5	100%	-
Smart Lenovo Browser	2	2	100%	-
Opera	2	2	100%	-
AVG Secure Browser	1	1	100%	-
