browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	1257	5648	77%	6m 59s
Microsoft Edge	82	135	89%	40s
Safari	59	163	71%	2m 00s
Opera	20	20	100%	-
Mobile App	19	19	100%	-
Firefox	19	43	84%	1m 41s
Smart Lenovo Browser	9	9	100%	-
QQ Browser	6	6	100%	-
Quark	4	4	100%	-
Samsung Browser	4	4	100%	-
(not set)	2	3	50%	30s
QtWebEngine	1	1	100%	-
MIUI Browser	1	1	100%	-
115 Browser	1	1	100%	-
Opera Touch	1	1	100%	-
