device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	9262	25925	69%	2m 00s
Mobile	6485	46855	74%	11m 36s
Laptop	3044	6516	73%	1m 23s
Tablet	270	444	82%	32s
(not set)	185	208	98%	1s
