device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	6147	21732	58%	2m 44s
Mobile	3580	16834	76%	7m 27s
Laptop	3044	6516	73%	1m 23s
Tablet	267	430	83%	32s
(not set)	130	146	99%	-
