device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	11464	28469	74%	1m 41s
Mobile	6920	50111	73%	11m 24s
Laptop	3044	6516	73%	1m 23s
Tablet	270	444	82%	32s
(not set)	221	247	98%	-
