device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	5644	20397	57%	2m 47s
Laptop	3044	6516	73%	1m 23s
Mobile	2804	12191	76%	7m 45s
Tablet	267	430	83%	32s
(not set)	67	79	99%	1s
