source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	1390	5752	78%	6m 43s
Google	67	217	49%	1m 36s
Bing	12	17	92%	1m 35s
niaid.nih.gov	8	21	62%	28s
statics.teams.cdn.office.net	7	31	29%	2m 27s
DuckDuckGo	2	17	33%	2m 22s
chatgpt.com	1	1	100%	-
confluence.ncbi.nlm.nih.gov	1	1	100%	-
10.78.24.235	1	1	100%	-
