browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	259	933	50%	3m 07s
Firefox	31	75	59%	33s
Microsoft Edge	28	42	72%	7s
Safari	26	72	57%	2m 31s
Mobile App	4	4	100%	-
Samsung Browser	2	2	100%	-
Yandex Browser	2	2	100%	-
Opera	1	3	100%	-
