country	Visitors	Pageviews	Bounce Rate	Duration
US	913	5130	75%	7m 49s
CN	134	136	99%	-
VN	101	101	100%	-
DE	57	113	90%	1m 33s
IN	34	47	72%	2s
GB	33	51	85%	55s
NL	27	38	89%	9s
PL	20	20	100%	-
FR	16	17	94%	2s
AU	16	109	38%	2m 48s
BE	10	91	14%	11m 07s
RO	9	9	100%	-
BD	8	8	100%	-
CH	7	37	50%	1m 56s
SE	6	6	100%	-
ES	6	6	100%	-
BR	6	6	100%	-
CA	5	11	60%	1m 26s
SG	5	5	100%	-
PH	4	4	100%	-
PK	4	8	50%	1m 36s
AT	4	4	100%	-
TN	3	15	33%	3m 03s
IT	3	3	100%	-
NG	3	3	100%	-
DZ	3	3	100%	-
ZA	3	7	75%	18s
FI	2	2	100%	-
TR	2	2	100%	-
JP	2	21	50%	6m 54s
IE	2	5	50%	29s
LU	2	2	100%	-
HK	2	2	100%	-
AE	2	2	100%	-
IR	2	3	50%	4s
CO	2	2	100%	-
MX	2	2	100%	-
SA	2	2	100%	-
BG	1	1	100%	-
SC	1	1	100%	-
AR	1	1	100%	-
LT	1	1	100%	-
PG	1	3	0%	15s
IS	1	1	100%	-
AD	1	1	100%	-
EC	1	1	100%	-
NO	1	1	100%	-
PT	1	1	100%	-
GR	1	1	100%	-
PE	1	1	100%	-
ET	1	1	100%	-
DK	1	1	100%	-
UA	1	1	100%	-
LK	1	1	100%	-
TH	1	1	100%	-
PY	1	1	100%	-
KZ	1	1	100%	-
MA	1	1	100%	-
MY	1	1	100%	-
ID	1	1	100%	-
CL	1	1	100%	-
