source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	234	1320	47%	5m 02s
galaxyproject.org	44	86	76%	1m 05s
Google	43	160	43%	1m 21s
niaid.nih.gov	14	55	36%	1m 43s
Yandex	4	4	100%	-
Bing	2	10	0%	1m 48s
baidu.com	1	1	100%	-
bv-brc.org	1	1	100%	-
dxkb.theseed.org	1	1	100%	-
mail.umontpellier.fr	1	1	100%	-
