browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	702	1383	84%	1m 20s
Safari	34	75	76%	31s
Firefox	27	95	55%	1m 24s
Microsoft Edge	21	39	71%	48s
Mobile App	10	10	100%	-
Opera	2	4	50%	6s
Samsung Browser	2	10	50%	36s
Smart Lenovo Browser	2	2	100%	-
Internet Explorer	1	1	100%	-
