browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	1071	6685	71%	8m 24s
Microsoft Edge	77	89	94%	7s
Safari	68	135	79%	1m 48s
Firefox	43	109	68%	1m 40s
Opera	13	13	100%	-
Mobile App	10	11	90%	9s
(not set)	10	10	100%	-
Smart Lenovo Browser	8	8	100%	-
Samsung Browser	5	5	100%	-
Quark	1	1	100%	-
QQ Browser	1	1	100%	-
