browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	232	547	68%	1m 11s
Safari	27	96	54%	2m 18s
Microsoft Edge	23	49	78%	23s
Firefox	15	35	56%	1m 14s
Mobile App	8	9	88%	2m 36s
Smart Lenovo Browser	3	3	100%	-
Samsung Browser	1	1	100%	-
QQ Browser	1	1	100%	-
Sogou Explorer	1	1	100%	-
Opera	1	1	100%	-
