browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	233	1117	49%	3m 07s
Safari	68	152	79%	1m 36s
Microsoft Edge	49	60	92%	25s
Firefox	25	84	52%	4m 15s
Mobile App	6	6	100%	-
Opera	3	3	100%	-
Yandex Browser	2	2	100%	-
	1	1	100%	-
QQ Browser	1	1	100%	-
Smart Lenovo Browser	1	1	100%	-
