browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	15741	72415	72%	7m 54s
Safari	1290	2961	69%	1m 25s
Microsoft Edge	787	1554	79%	56s
Firefox	783	2514	53%	1m 58s
Mobile App	181	195	94%	10s
Opera	77	99	95%	11s
(not set)	45	52	87%	6s
Smart Lenovo Browser	35	35	100%	-
Samsung Browser	25	37	88%	13s
Yandex Browser	25	29	92%	18s
QQ Browser	14	14	100%	-
Quark	12	12	100%	-
Mobile Silk	3	3	100%	-
Sogou Explorer	3	5	67%	4s
MIUI Browser	3	3	100%	-
Opera Touch	3	3	100%	-
360 Browser	2	2	100%	-
Whale Browser	1	1	100%	-
Phoenix Browser	1	1	100%	-
NFS Browser	1	1	100%	-
AVG Secure Browser	1	1	100%	-
Internet Explorer	1	1	100%	-
Avast Secure Browser	1	4	0%	1m 27s
Huawei Browser Mobile	1	4	0%	1m 52s
QtWebEngine	1	1	100%	-
115 Browser	1	1	100%	-
