country	Visitors	Pageviews	Bounce Rate	Duration
US	112	562	48%	5m 28s
CN	26	31	88%	9s
DE	22	48	60%	1m 13s
GB	18	26	78%	32s
FR	9	12	78%	39s
CA	5	12	60%	27s
IN	3	3	100%	-
AU	3	14	33%	22s
CH	3	6	67%	2m 03s
CZ	3	4	67%	9m 15s
NL	3	3	100%	-
ES	3	7	33%	19s
JP	2	5	33%	8m 00s
BR	2	7	33%	1m 19s
SE	2	2	100%	-
BM	2	6	50%	1m 36s
SA	2	2	100%	-
FI	1	1	100%	-
PH	1	1	100%	-
ET	1	1	100%	-
GR	1	1	100%	-
NO	1	1	100%	-
AT	1	1	100%	-
ZA	1	1	100%	-
TH	1	1	100%	-
SN	1	1	100%	-
MA	1	6	0%	28m 04s
BD	1	1	100%	-
PL	1	1	100%	-
NG	1	1	100%	-
SK	1	1	100%	-
KR	1	1	100%	-
AE	1	1	100%	-
CL	1	1	100%	-
ID	1	1	100%	-
LY	1	1	100%	-
