device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	5883	20908	58%	2m 44s
Mobile	3119	14527	75%	7m 41s
Laptop	3044	6516	73%	1m 23s
Tablet	267	430	83%	32s
(not set)	89	101	99%	1s
