country	Visitors	Pageviews	Bounce Rate	Duration
US	2133	21382	71%	16m 54s
BR	503	513	99%	6s
CN	240	277	92%	10s
GB	108	112	96%	-
IN	44	47	98%	-
PK	43	43	100%	-
UA	37	37	100%	-
FR	35	35	100%	-
AR	35	35	100%	-
CO	31	31	100%	-
ZA	29	33	97%	2s
VN	27	27	100%	-
RU	27	27	100%	-
SA	27	30	96%	8s
MX	25	32	96%	18s
DE	24	44	75%	18s
AU	23	52	73%	1m 33s
CA	23	36	78%	1m 06s
BD	22	22	100%	-
CL	17	17	100%	-
TN	17	17	100%	-
IQ	16	16	100%	-
MA	15	15	100%	-
KE	14	14	100%	-
DK	13	13	100%	-
KR	12	24	83%	13s
DZ	12	12	100%	-
JO	12	12	100%	-
KZ	12	12	100%	-
IR	10	10	100%	-
ES	10	10	100%	-
UZ	10	10	100%	-
SG	9	10	89%	1s
CH	9	12	78%	4s
NG	9	9	100%	-
MU	9	9	100%	-
EC	9	9	100%	-
TT	8	8	100%	-
TH	8	8	100%	-
ET	8	9	88%	-
AZ	8	8	100%	-
PL	7	7	100%	-
ID	7	10	86%	29s
PH	7	7	100%	-
AE	7	7	100%	-
VE	7	7	100%	-
AS	7	14	71%	4s
IL	7	7	100%	-
TR	7	7	100%	-
AO	6	6	100%	-
IT	5	5	100%	-
JP	5	9	60%	1m 09s
OM	5	5	100%	-
BA	5	5	100%	-
NL	5	5	100%	-
HK	5	5	100%	-
EG	5	5	100%	-
SN	5	5	100%	-
AL	5	5	100%	-
PE	4	4	100%	-
UY	4	4	100%	-
MY	4	4	100%	-
DO	4	4	100%	-
CG	4	4	100%	-
IE	4	4	100%	-
MD	4	4	100%	-
SY	4	4	100%	-
NP	4	4	100%	-
PS	4	4	100%	-
BH	3	6	67%	24s
CR	3	3	100%	-
GT	3	3	100%	-
RO	3	3	100%	-
BE	3	4	67%	1s
HU	3	3	100%	-
BG	3	3	100%	-
KH	3	3	100%	-
RS	3	3	100%	-
LU	2	2	100%	-
GE	2	2	100%	-
PY	2	2	100%	-
AD	2	2	100%	-
GR	2	4	50%	58s
BM	2	2	100%	-
MN	2	2	100%	-
CI	2	2	100%	-
LK	2	2	100%	-
TZ	2	2	100%	-
SE	2	2	100%	-
MM	2	2	100%	-
PT	2	2	100%	-
BO	2	2	100%	-
HR	2	2	100%	-
GI	1	1	100%	-
KW	1	1	100%	-
LR	1	1	100%	-
LT	1	1	100%	-
BF	1	1	100%	-
XK	1	1	100%	-
GA	1	1	100%	-
GY	1	1	100%	-
HN	1	1	100%	-
PA	1	1	100%	-
TG	1	1	100%	-
LV	1	1	100%	-
CY	1	1	100%	-
JM	1	1	100%	-
NI	1	1	100%	-
NA	1	1	100%	-
BY	1	1	100%	-
CZ	1	1	100%	-
QA	1	1	100%	-
LB	1	1	100%	-
PR	1	1	100%	-
