browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	7058	23552	65%	3m 22s
Safari	1011	2375	67%	1m 25s
Firefox	650	2205	50%	2m 06s
Microsoft Edge	499	1089	76%	56s
Mobile App	123	133	94%	13s
Opera	32	54	88%	25s
Yandex Browser	22	26	91%	21s
Smart Lenovo Browser	13	13	100%	-
Samsung Browser	12	24	75%	27s
(not set)	6	8	83%	26s
QQ Browser	6	6	100%	-
Quark	4	4	100%	-
Mobile Silk	3	3	100%	-
Sogou Explorer	3	5	67%	4s
Whale Browser	1	1	100%	-
Phoenix Browser	1	1	100%	-
MIUI Browser	1	1	100%	-
NFS Browser	1	1	100%	-
Opera Touch	1	1	100%	-
AVG Secure Browser	1	1	100%	-
Internet Explorer	1	1	100%	-
Avast Secure Browser	1	4	0%	1m 27s
Huawei Browser Mobile	1	4	0%	1m 52s
