browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	280	559	72%	1m 32s
Safari	38	100	66%	2m 36s
Firefox	24	99	59%	1m 29s
Microsoft Edge	12	19	92%	4s
Mobile App	6	6	100%	-
Opera	1	1	100%	-
Avast Secure Browser	1	4	0%	1m 27s
Yandex Browser	1	1	100%	-
