country	Visitors	Pageviews	Bounce Rate	Duration
US	911	6517	70%	8m 48s
CN	138	147	96%	6s
VN	60	60	100%	-
GB	24	45	77%	22s
CA	16	34	81%	36s
SG	15	15	100%	-
AU	14	42	62%	4m 18s
BR	12	12	100%	-
IN	12	21	83%	13s
CH	9	29	50%	46s
FR	8	17	88%	7s
DE	8	16	75%	3m 39s
BE	6	19	71%	1m 38s
IT	6	11	33%	8s
ES	4	4	100%	-
TR	4	7	75%	16s
UA	4	4	100%	-
AR	3	4	67%	5s
LT	3	3	100%	-
IE	3	3	100%	-
IR	3	5	67%	1m 27s
KR	2	2	100%	-
PL	2	2	100%	-
CO	2	2	100%	-
VE	2	2	100%	-
IL	2	2	100%	-
RO	2	2	100%	-
MX	2	2	100%	-
NL	2	2	100%	-
TH	2	2	100%	-
BD	2	2	100%	-
GE	2	2	100%	-
AZ	1	1	100%	-
UZ	1	1	100%	-
JP	1	1	100%	-
MO	1	1	100%	-
SE	1	1	100%	-
BG	1	1	100%	-
NG	1	1	100%	-
MA	1	1	100%	-
GH	1	1	100%	-
MY	1	3	0%	20s
EC	1	1	100%	-
PE	1	1	100%	-
TW	1	1	100%	-
IS	1	1	100%	-
BW	1	1	100%	-
DK	1	2	0%	1m 53s
SK	1	1	100%	-
EE	1	3	0%	31s
PH	1	1	100%	-
TJ	1	1	100%	-
FI	1	4	0%	19s
ID	1	1	100%	-
