browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	1112	3236	83%	6m 04s
Safari	184	263	88%	12s
Firefox	25	43	72%	1m 10s
Microsoft Edge	15	42	69%	17s
Mobile App	10	10	100%	-
Samsung Browser	3	4	67%	7s
Smart Lenovo Browser	2	2	100%	-
Huawei Browser Mobile	1	4	0%	1m 52s
Yandex Browser	1	1	100%	-
(not set)	1	1	100%	-
