browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	2146	11596	75%	11m 29s
Safari	43	74	81%	45s
Microsoft Edge	41	79	59%	2m 01s
Firefox	32	86	59%	50s
Mobile App	9	9	100%	-
(not set)	8	10	75%	4s
Smart Lenovo Browser	2	2	100%	-
Quark	2	2	100%	-
QQ Browser	2	2	100%	-
360 Browser	1	1	100%	-
