device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	9551	26320	69%	1m 57s
Mobile	6652	48582	73%	11m 42s
Laptop	3044	6516	73%	1m 23s
Tablet	270	444	82%	32s
(not set)	196	220	98%	1s
