source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	727	1462	83%	1m 15s
Google	26	70	70%	2m 05s
galaxyproject.org	13	21	62%	28s
Bing	10	16	80%	1m 00s
LinkedIn	9	12	78%	8s
niaid.nih.gov	3	3	100%	-
go.bsky.app	3	7	67%	8m 16s
training.galaxyproject.org	3	3	100%	-
chatgpt.com	2	2	100%	-
forms.office.com	2	7	50%	50s
science.org	1	6	0%	4m 07s
statics.teams.cdn.office.net	1	6	0%	4m 49s
DuckDuckGo	1	2	0%	1m 42s
biorxiv.org	1	2	0%	5s
