source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	314	1215	60%	2m 37s
Google	38	104	50%	2m 58s
galaxyproject.org	18	21	89%	1s
niaid.nih.gov	6	7	83%	10s
DuckDuckGo	3	4	67%	9s
docs.galaxyproject.org	2	3	50%	1s
GitHub	2	12	33%	1m 19s
Bing	2	2	100%	-
datacache.galaxyproject.org	1	1	100%	-
bv-brc.org	1	35	0%	33m 18s
copilot.microsoft.com	1	5	0%	1m 40s
Yahoo!	1	17	0%	6m 41s
science.org	1	1	100%	-
