source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	2197	6278	82%	5m 05s
Google	70	229	46%	2m 42s
Baidu	14	14	100%	-
niaid.nih.gov	9	16	56%	1m 34s
forms.office.com	6	6	100%	-
Bing	6	25	33%	1m 30s
chatgpt.com	3	3	100%	-
statics.teams.cdn.office.net	2	6	50%	16s
data.hyphy.org	2	17	50%	3m 35s
biorxiv.org	1	4	0%	1m 26s
Yahoo!	1	8	0%	2m 33s
LinkedIn	1	3	0%	2m 40s
DuckDuckGo	1	1	100%	-
confluence.ncbi.nlm.nih.gov	1	1	100%	-
