country	Visitors	Pageviews	Bounce Rate	Duration
CN	405	408	100%	-
US	183	734	55%	3m 25s
DE	35	112	68%	2m 20s
BR	19	23	89%	3s
AU	19	147	36%	6m 56s
GB	18	25	78%	28s
IN	10	10	100%	-
FR	9	22	78%	31s
CA	6	9	83%	41s
VN	6	6	100%	-
NZ	6	6	100%	-
ES	5	7	80%	25s
IT	5	12	20%	1m 54s
HK	4	4	100%	-
SE	4	4	100%	-
AR	4	4	100%	-
BE	4	6	80%	49s
PH	3	4	100%	-
KH	3	3	100%	-
SG	3	3	100%	-
AD	3	3	100%	-
TR	3	3	100%	-
DZ	3	3	100%	-
NL	2	2	100%	-
PY	2	2	100%	-
AE	2	2	100%	-
KE	2	2	100%	-
IQ	2	3	50%	24s
JP	2	2	100%	-
IE	2	2	100%	-
BD	2	2	100%	-
CZ	2	2	100%	-
PL	1	12	0%	1m 10s
MX	1	1	100%	-
NG	1	1	100%	-
BS	1	1	100%	-
EG	1	1	100%	-
BO	1	1	100%	-
RO	1	1	100%	-
SN	1	1	100%	-
AT	1	2	0%	14s
QA	1	1	100%	-
TN	1	1	100%	-
CH	1	1	100%	-
PA	1	1	100%	-
PE	1	1	100%	-
ZA	1	1	100%	-
AZ	1	1	100%	-
RU	1	1	100%	-
GH	1	1	100%	-
CG	1	1	100%	-
LA	1	1	100%	-
SA	1	1	100%	-
