browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	447	1713	42%	3m 00s
Safari	47	147	53%	3m 40s
Firefox	43	178	52%	2m 35s
Microsoft Edge	16	158	74%	4m 01s
Mobile App	13	13	100%	-
Opera	3	11	67%	17s
QQ Browser	1	1	100%	-
Yandex Browser	1	1	100%	-
NFS Browser	1	1	100%	-
Opera Touch	1	1	100%	-
Quark	1	1	100%	-
