browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	265	1271	49%	2m 44s
Safari	33	86	48%	1m 12s
Firefox	26	121	44%	1m 40s
Microsoft Edge	16	61	58%	1m 11s
Mobile App	5	6	80%	-
Yandex Browser	3	4	67%	55s
Phoenix Browser	1	1	100%	-
