device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	5743	20662	57%	2m 46s
Laptop	3044	6516	73%	1m 23s
Mobile	2951	13134	76%	7m 35s
Tablet	267	430	83%	32s
(not set)	73	85	99%	1s
