source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	251	1741	45%	5m 02s
Google	37	135	48%	1m 49s
galaxyproject.org	20	32	80%	26s
niaid.nih.gov	12	23	69%	2m 19s
Bing	2	3	50%	4s
Facebook	1	1	100%	-
usc-word-edit.officeapps.live.com	1	1	100%	-
science.org	1	11	0%	1m 16s
DuckDuckGo	1	9	0%	2m 33s
chatgpt.com	1	1	100%	-
x7x.top	1	1	100%	-
GitHub	1	1	100%	-
