browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	2167	6312	82%	5m 08s
Safari	56	135	61%	1m 31s
Microsoft Edge	32	84	73%	2m 13s
Firefox	19	43	55%	49s
(not set)	15	15	100%	-
Mobile App	13	16	77%	14s
Yandex Browser	2	2	100%	-
Smart Lenovo Browser	1	1	100%	-
QQ Browser	1	1	100%	-
Quark	1	1	100%	-
360 Browser	1	1	100%	-
