device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	5059	18988	55%	2m 56s
Laptop	3044	6516	73%	1m 23s
Mobile	1631	5189	78%	6m 35s
Tablet	266	429	83%	32s
(not set)	7	10	100%	-
