browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	237	1307	49%	4m 55s
Safari	48	151	48%	1m 18s
Firefox	29	135	35%	2m 17s
Microsoft Edge	23	39	79%	46s
Mobile App	4	5	75%	-
Opera	1	1	100%	-
Yandex Browser	1	1	100%	-
