country	Visitors	Pageviews	Bounce Rate	Duration
US	1178	4978	77%	6m 46s
CN	560	569	99%	1s
IR	101	104	98%	2s
GB	54	74	85%	17s
FR	43	126	60%	1m 38s
UA	42	42	100%	-
DE	30	45	90%	5s
IN	26	31	85%	25s
NL	25	47	92%	1m 24s
CA	20	40	75%	21s
BD	19	21	95%	14s
PL	19	20	95%	4s
VN	17	17	100%	-
AU	17	308	30%	18m 48s
IT	17	22	71%	-
BR	15	15	100%	-
JP	12	28	62%	9s
SG	10	10	100%	-
BE	7	8	100%	-
KR	7	8	86%	15s
RO	6	6	100%	-
ZA	5	5	100%	-
AR	5	5	100%	-
TR	4	4	100%	-
HK	4	4	100%	-
CO	4	4	100%	-
AE	4	4	100%	-
CL	4	5	75%	4s
SE	3	3	100%	-
GE	3	3	100%	-
TW	3	6	67%	26s
AL	3	3	100%	-
MD	3	3	100%	-
IE	2	3	50%	2s
ES	2	2	100%	-
SA	2	2	100%	-
MY	2	2	100%	-
ID	2	2	100%	-
PT	2	2	100%	-
PK	2	2	100%	-
BG	1	1	100%	-
JO	1	1	100%	-
LY	1	1	100%	-
IL	1	1	100%	-
CH	1	2	0%	2m 15s
MG	1	1	100%	-
NP	1	1	100%	-
VE	1	1	100%	-
PE	1	1	100%	-
SI	1	1	100%	-
RS	1	1	100%	-
NO	1	1	100%	-
IQ	1	2	100%	-
RU	1	1	100%	-
LT	1	1	100%	-
CZ	1	1	100%	-
TZ	1	2	0%	3m 41s
AT	1	1	100%	-
HU	1	1	100%	-
FI	1	1	100%	-
MX	1	1	100%	-
BM	1	1	100%	-
PA	1	1	100%	-
