country	Visitors	Pageviews	Bounce Rate	Duration
US	252	1167	44%	3m 04s
CN	26	44	93%	22s
DE	25	86	46%	1m 59s
GB	24	59	54%	1m 44s
CA	23	36	71%	16s
AU	16	62	54%	1m 36s
CH	12	16	83%	3s
BE	11	46	23%	2m 14s
FR	8	19	50%	2m 01s
MX	4	4	100%	-
KE	3	5	67%	15s
ZA	3	7	33%	1m 07s
IN	3	3	100%	-
NL	3	3	100%	-
TH	2	2	100%	-
MY	2	2	100%	-
BR	2	2	100%	-
RU	2	2	100%	-
ES	2	2	100%	-
KZ	1	1	100%	-
IE	1	1	100%	-
JP	1	2	0%	2m 39s
CL	1	8	0%	3m 40s
AE	1	1	100%	-
PL	1	5	0%	30s
NG	1	1	100%	-
NO	1	1	100%	-
CZ	1	1	100%	-
ML	1	1	100%	-
RS	1	2	0%	31s
PT	1	13	0%	1m 30s
PE	1	1	100%	-
SE	1	4	0%	3m 33s
BD	1	3	0%	54s
HU	1	1	100%	-
DK	1	1	100%	-
